station_id,station_name,latitude,longitude,elevation_m,country,,,
952,AEROPUERTO                              ,-999,-999,-999,[Missing]                               ,            ,                    ,            
2695,TOUGGOURT                               ,33.4,3.8,69,Algeria                                 ,            ,                    ,            
2782,ALGIERS                                 ,37.28,0.73,22,Algeria                                 ,            ,                    ,            
2783,SETIF                                   ,-999,-999,-999,Algeria                                 ,            ,                    ,            
2784,MASCARA                                 ,-999,-999,-999,Algeria                                 ,            ,                    ,            
2821,QUILEMBO                                ,-9.32,14.95,-999,Angola                                  ,            ,                    ,            
2824,LOANDA                                  ,-8.8,13.2,187,Angola                                  ,            ,                    ,            
3085,BOTANIC STAT                            ,17,-61,7,"Antigua, Barbuda, St. Kitts, and Nevis  ",            ,                    ,            
3094,LA GUERITE                              ,17.33,-62.75,48,"Antigua, Barbuda, St. Kitts, and Nevis  ",            ,                    ,            
3097,ST. JOHN'S                              ,-999,-999,-999,"Antigua, Barbuda, St. Kitts, and Nevis  ",            ,                    ,            
3098,CENTRAL COTT                            ,-999,-999,-999,"Antigua, Barbuda, St. Kitts, and Nevis  ",            ,                    ,            
3101,ISLAS ORCADA                            ,-60.73,-44.73,-999,Argentina                               ,            ,                    ,            
3123,COLONIA SARM                            ,-45.58,-69.07,272,Argentina                               ,            ,                    ,            
3130,ESQUEL                                  ,-42.9,-71.35,568,Argentina                               ,            ,                    ,            
3132,PUERTO MADRY                            ,-42.77,-65.05,16,Argentina                               ,            ,                    ,            
3140,BARILOCHE                               ,-41.15,-71.3,835,Argentina                               ,            ,                    ,            
3142,SAN ANTONIO                             ,-40.73,-64.95,7,Argentina                               ,            ,                    ,            
3150,LAS LAJAS                               ,-38.53,-70.38,713,Argentina                               ,            ,                    ,            
3153,TRES ARROYOS                            ,-38.38,-60.27,111,Argentina                               ,            ,                    ,            
3169,AZUL                                    ,-36.77,-59.83,133,Argentina                               ,            ,                    ,            
3208,VILLA MERCED                            ,-33.68,-65.48,514,Argentina                               ,            ,                    ,            
3223,MENDOZA                                 ,-32.88,-68.83,755,Argentina                               ,            ,                    ,            
3248,LA PAZ                                  ,-30.75,-59.65,45,Argentina                               ,            ,                    ,            
3260,LA RIOJA                                ,-29.42,-66.87,517,Argentina                               ,            ,                    ,            
3285,PCIA R. SCIE                            ,-26.82,-60.45,93,Argentina                               ,            ,                    ,            
3293,FORMOSA                                 ,-26.17,-58.2,65,Argentina                               ,            ,                    ,            
3299,SALTA                                   ,-24.78,-65.42,1173,Argentina                               ,            ,                    ,            
3368,AEROPUERTO                              ,-999,-999,-999,Aruba                                   ,            ,                    ,            
5388,BERHAMPORE                              ,24.1,88.28,20,Bangladesh                              ,            ,                    ,            
5404,SEAWELL AIRP                            ,13.07,-59.5,52,Barbados                                ,            ,                    ,            
5405,JOE'S RIVER                             ,13.1,-59.63,131,Barbados                                ,            ,                    ,            
5409,DODD'S BOTAN                            ,-999,-999,-999,Barbados                                ,            ,                    ,            
5410,LOCAL DEPT.                             ,-999,-999,-999,Barbados                                ,            ,                    ,            
5411,BINFIELD (ST                            ,-999,-999,-999,Barbados                                ,            ,                    ,            
5586,STANN CREEK                             ,16.97,-88.23,-999,Belize                                  ,            ,                    ,            
5592,BRITISH HOND                            ,17.52,-88.18,17,Belize                                  ,            ,                    ,            
5594,PORTO-NOVO                              ,6.47,0.33,20,Benin                                   ,            ,                    ,            
5606,ST. GEORGE'S                            ,32.38,-64.67,19,Bermuda [United Kingdom]                ,            ,                    ,            
5607,ST. GEORGE'S                            ,-999,-999,-999,Bermuda [United Kingdom]                ,            ,                    ,            
5612,TUPIZA                                  ,-21.45,-65.72,2950,Bolivia                                 ,            ,                    ,            
5613,VILLA MONTES                            ,-21.27,-63.47,520,Bolivia                                 ,            ,                    ,            
5615,SAN JOSE DE                             ,-20.67,-65.5,2800,Bolivia                                 ,            ,                    ,            
5616,CAMARGO                                 ,-20.65,-65.22,2770,Bolivia                                 ,            ,                    ,            
5620,TARABUCO                                ,-19.17,-64.95,3200,Bolivia                                 ,            ,                    ,            
5622,REDENCION PA                            ,-19,-65,2600,Bolivia                                 ,            ,                    ,            
5624,PUERTO SUARE                            ,-18.95,-57.87,154,Bolivia                                 ,            ,                    ,            
5625,PAZNA                                   ,-18.6,-66.92,3710,Bolivia                                 ,            ,                    ,            
5630,SANTA CRUZ                              ,-17.77,-63.57,437,Bolivia                                 ,            ,                    ,            
5631,ANZALDO                                 ,-17.72,-65.9,3100,Bolivia                                 ,            ,                    ,            
5634,LA ANGOSTURA                            ,-17.55,-65.95,2570,Bolivia                                 ,            ,                    ,            
5636,SACABA                                  ,-17.38,-66.03,2575,Bolivia                                 ,            ,                    ,            
5637,SICASICA                                ,-17.38,-64.73,3800,Bolivia                                 ,            ,                    ,            
5638,MOROCHATA                               ,-17.37,-66.5,3040,Bolivia                                 ,            ,                    ,            
5639,MONTERO                                 ,-17.33,-63.25,420,Bolivia                                 ,            ,                    ,            
5640,CALACOTO                                ,-17.3,-68.65,3722,Bolivia                                 ,            ,                    ,            
5641,VIZCACHANI                              ,-17.1,-68.05,4150,Bolivia                                 ,            ,                    ,            
5642,GUAQUI                                  ,-16.6,-68.87,3812,Bolivia                                 ,            ,                    ,            
5644,LA PAZ                                  ,-16.5,-68.17,3701,Bolivia                                 ,            ,                    ,            
5645,EL ALTO (LA                             ,-16.5,-68.17,4103,Bolivia                                 ,            ,                    ,            
5647,CONCEPCION (                            ,-16.4,-62.17,490,Bolivia                                 ,            ,                    ,            
5649,SAN IGNACIO                             ,-16.37,-60.98,370,Bolivia                                 ,            ,                    ,            
5652,COPACABANA                              ,-16.17,-69.08,3844,Bolivia                                 ,            ,                    ,            
5668,CHORETY                                 ,-999,-999,-999,Bolivia                                 ,            ,                    ,            
5730,URUGUAYANA                              ,-29.75,-57.08,75,Brazil                                  ,            ,                    ,            
5746,FLORIANOPOLI                            ,-27.6,-48.5,5,Brazil                                  ,            ,                    ,            
5764,CURITYBA                                ,-25.42,-49.27,908,Brazil                                  ,            ,                    ,            
5854,UBERABA                                 ,-19.75,-47.95,775,Brazil                                  ,            ,                    ,            
5869,CORUMBA                                 ,-18.98,-57.65,116,Brazil                                  ,            ,                    ,            
5886,PIRAPORA                                ,-17.3,-44.95,507,Brazil                                  ,            ,                    ,            
5897,GOYAZ                                   ,-15.92,-50.12,520,Brazil                                  ,            ,                    ,            
5913,CUYABA                                  ,-15.58,-56.08,165,Brazil                                  ,            ,                    ,            
5918,MATTO GROSSO                            ,-15,-59.95,256,Brazil                                  ,            ,                    ,            
5927,CAETITE                                 ,-14.03,-42.62,897,Brazil                                  ,            ,                    ,            
5965,MACEIO                                  ,-9.65,-35.7,46,Brazil                                  ,            ,                    ,            
5968,JOAZEIRO                                ,-9.4,-40.5,371,Brazil                                  ,            ,                    ,            
5979,GARANHUNS                               ,-8.88,-36.4,861,Brazil                                  ,            ,                    ,            
5999,PARAHYBA                                ,-7.1,-34.85,27,Brazil                                  ,            ,                    ,            
6014,NATAL                                   ,-5.77,-35.3,28,Brazil                                  ,            ,                    ,            
6026,THEREZINA                               ,-5.07,-42.8,70,Brazil                                  ,            ,                    ,            
6042,SOBRAL                                  ,-3.68,-40.33,65,Brazil                                  ,            ,                    ,            
6049,MANAOS                                  ,-3.12,-60.02,44,Brazil                                  ,            ,                    ,            
6058,TAPERINHA                               ,-2.5,-54.33,20,Brazil                                  ,            ,                    ,            
6171,TAVOY                                   ,14.07,98.3,8,Burma / Myanmar                         ,            ,                    ,            
6175,DIAMOND ISLAND                          ,15.87,94.32,12,Burma / Myanmar                         ,            ,                    ,            
6219,BHAMO                                   ,24.2,96.97,-999,Burma / Myanmar                         ,            ,                    ,            
6236,PNOM-PENH                               ,10.58,102.6,13,Cambodia                                ,            ,                    ,            
6238,KAMPOT                                  ,10.62,101.83,2,Cambodia                                ,            ,                    ,            
