station_id,station_name,latitude,longitude,elevation_m
67,WHENUAPAI                               ,-37.3,175.05,27
76,PORTO ALEGRE (AERO- PORTO)              ,-30,-51.18333,3
83,CNEL OVIEDO                             ,-25.45,-56.36667,163
102,ALTA FLORESTA (AEROPORTO)               ,-9.86667,56.1,288
117,JAKARTA TANJUNG PRIOK                   ,-6.1,106.86667,2
121,SEYCHELLES INT. AIRPORT                 ,-4.66667,55.53333,4
136,LUWUK BUBUNG                            ,-0.9,122.78333,2
145,TOLI-TOLI LALOS                         ,1.01667,120.8,2
204,DAWADMI                                 ,24.5,44.35,991
206,SAN ESTANISLAO                          ,24.65,-56.43333,9
233,"SLIDELL/MUN., LA.                       ",30.33333,-89.81667,8
244,CHEJU UPPER/RADAR                       ,33.28333,126.16667,73
264,CORONEL SUAREZ AERO                     ,37.43333,-61.88333,233
369,POPRAD/GANOVCE                          ,49.05,20.53333,706
392,KURSK                                   ,51.65,39.25,104
424,OSTROV BOL`SOJ SANTAR                   ,54.83333,137.53333,17
458,KURESSAARE                              ,58.23333,22.05,4
695,RESERVED STATION                        ,-999,-999,-999
789,Missing Station ID - 94869              ,-999,-999,-999
1521,Missing Station ID - 94626              ,-999,-999,-999
1640,UNKNOWN STATION                         ,-999,-999,-999
2024,Missing Station ID - 94492              ,-999,-999,-999
2181,RESERVED UNKNOWN                        ,-999,-999,-999
2189,Missing Station ID - 94101              ,-999,-999,-999
2271,Missing Station ID - 94482              ,-999,-999,-999
2423,Missing Station ID - 94784              ,-999,-999,-999
2499,UNKNOWN RESERVED                        ,-999,-999,-999
82247,VOSTOK                                  ,-78.45,106.86667,3490
82248,BASE BELGRANO II                        ,-77.86667,-34.61667,256
82249,WILLIAMS FIELD                          ,-77.86667,116.96667,8
82250,MCMURDO                                 ,-77.85,166.66667,24
82251,HALLEY                                  ,-75.5,-26.65,30
82252,ASUKA                                   ,-71.53333,24.13333,931
82253,NOVOLAZAREVSKAJA                        ,-70.76667,11.83333,0
82254,NEUMAYER                                ,-70.66667,-8.25,50
82255,S.A.N.A.E. STATION                      ,-70.3,-2.35,62
82256,PROGRESS                                ,-69.4,76.4,64
82257,ZHONGSHAN WEATHER OFFICE                ,-69.36667,76.36667,18
82258,SYOWA                                   ,-69,39.58333,21
82259,DAVIS                                   ,-68.56667,77.95,13
82260,BASE SAN MARTIN                         ,-68.13333,-67.13333,4
82261,MOLODEZNAJA                             ,-67.66667,45.85,40
82262,MAWSON                                  ,-67.6,62.86667,16
82263,ROTHERA POINT                           ,-67.56667,-68.13333,16
82264,DUMONT D'URVILLE                        ,-66.66667,140.01667,43
82265,MIRNYJ                                  ,-66.55,93.01667,30
82266,CASEY                                   ,-66.28333,110.51667,42
82267,VERNADSKY                               ,-65.25,-64.26667,11
82268,BASE MARAMBIO (CENTRO MET. A            ,-64.23333,-56.71667,198
82269,BASE ESPERANZA                          ,-63.4,-56.98333,13
82270,BASE BERNARDO O'HIGGINS                 ,-63.31667,-56.68333,10
82271,BASE ARTURO PRAT                        ,-62.5,-59.68333,5
82272,BASE JUBANY                             ,-62.23333,-58.63333,4
82273,BELLINGSHAUSEN                          ,-62.2,-58.93333,16
82274,"CENTRO MET.ANTARTICO""PDTE.ED            ",-62.18333,-58.98333,48
82275,DINAMET-URUGUAY                         ,-62.18333,-58.85,17
82276,BASE ORCADAS                            ,-60.75,-44.71667,4
82277,SIGNY ISLAND                            ,-60.71667,-45.6,6
82278,USHUAIA AERO                            ,-54.8,-68.31667,14
82279,MACQUARIE ISLAND                        ,-54.48333,158.93333,6
82280,RIO GRANDE B.A.                         ,-53.8,-67.75,22
82281,PUNTA ARENAS                            ,-53,-70.85,43
82282,CAMPBELL ISLAND                         ,-52.55,169.15,19
82283,CAMPBELL ISLAND AWS                     ,-52.55,169.15,19
82284,CAMPBELL ISLAND AWS                     ,-52.55,169.15,19
82285,MOUNT PLEASANT AIRPORT                  ,-51.81667,-58.45,73
82286,RIO GALLEGOS AERO                       ,-51.61667,-69.28333,19
82287,LAGO ARGENTINO AERO                     ,-50.33333,-72.3,220
82288,SANTA CRUZ AERO                         ,-50.01667,-68.56667,111
82289,PORT-AUX-FRANCAIS (ILES KERG            ,-49.35,70.25,30
82290,SAN JULIAN AERO                         ,-49.31667,-67.75,62
82291,GOBERNADOR GREGORES AERO                ,-48.78333,-70.16667,357
82292,PUERTO DESEADO AERO                     ,-47.73333,-65.91667,80
82293,MARION ISLAND                           ,-46.88333,37.86667,21
82294,INVERCARGILL AERODROME                  ,-46.7,168.55,4
82295,PERITO MORENO AERO                      ,-46.51667,-71.01667,429
82296,ALFRED FAURE (ILES CROZET)              ,-46.43333,51.86667,142
82297,BALMACEDA                               ,-45.91667,-71.7,522
82298,COMODORO RIVADAVIA AERO                 ,-45.78333,-67.5,46
82299,COYHAIQUE                               ,-45.6,-72.1,311
82300,PUERTO AYSEN                            ,-45.4,-72.66667,11
82301,CHATHAM ISLAND                          ,-43.95,-176.56667,48
82302,CHATHAM ISLANDS AWS                     ,-43.95,-176.56667,49
82303,PASO DE INDIOS                          ,-43.81667,-68.88333,460
82304,CHRISTCHURCH                            ,-43.48333,172.55,30
82305,TRELEW AERO                             ,-43.2,-65.26667,43
