station_id,station_name,latitude,longitude,elevation_m
1,AWS: CLEAN AIR   (8918)                 ,-90,0,2835
2,GMCC:AMUNDSEN-SCOTT                     ,-90,0,2850
3,AWS: PATRICK     (8905)                 ,-89.9,45,2835
4,AWS: ALLISON     (8900)                 ,-89.8,-60,2835
5,AWS: BOWERS      (8909)                 ,-85.2,163.4,2090
6,AWS: LETTAU   (8908)                    ,-82.6,-174.3,55
8,AWS: MARILYN  (8915)                    ,-80,165,75
9,AWS: BYRD GLACIER (8921)                ,-80,165,75
10,PLATEAU ANTARCTICA USN                  ,-79.5,40.6,3505
11,AWS: MANNING (8905)                     ,-78.8,166.9,66
12,AWS: MEELY (8915)                       ,-78.5,170.2,49
13,AWS: MARTHA II (8915)                   ,-78.4,-173.4,18
14,SOVIETSKAYA                             ,-78.4,87.6,3570
15,AWS: MARTHA I (8923)                    ,-78.3,-172.5,42
16,AWS: ROSS ICE SHELF (8923)              ,-78.2,-172.5,42
17,AWS: TIFFANY (8908)                     ,-78,168.2,25
18,AWS: FERREL (8907)                      ,-78,170.8,44
19,GRAL BELGRANO B EJERCITO ARGEN          ,-77.95,-38.65,32
21,BASE GENERAL BELGRANO                   ,-77.9,-46,-999
22,AWS: ARRIVAL HEIGHTS (8909)             ,-77.9,166.7,200
23,AWS: JIMMY       (8927)                 ,-77.9,166.8,200
24,AWS: NANCY (8908)                       ,-77.9,168.2,30
26,AWS: JIMMY (8911)                       ,-77.8,166.7,200
27,AWS: WINDLESS BIGHT (8918)              ,-77.8,167.7,44
28,AWS: ASGARD (8908) DRY V                ,-77.6,160.1,1750
29,AWS: LAURIE (8908)                      ,-77.6,170.1,27
30,AWS: MARBLE POINT (8906)                ,-77.4,163.8,121
32,AWS: SIPLE (8909)                       ,-75.9,-84,1054
33,EIGHTS STATION ANTARCTICA USN           ,-75.3,-77.1,421
35,DOME C (VIA WENDLER)                    ,-74.5,123,3280
36,AWS: DOME C (8904)                      ,-74.5,123,3280
39,AWS: BUTLER (8902)                      ,-72.2,-60.3,91
40,VOSTOK I                                ,-72.1,96.6,3140
43,AWS: DOLLEMAN IS (8917)                 ,-70.6,-61,396
44,"NORWAY\S.A.N.A.E.""                      ",-70.4,-2.5,56
45,S.A.N.A.E.                              ,-70.3,2.5,-999
46,LAZAREV                                 ,-70,12.9,24
47,AWS: D-80 (8900)                        ,-70,134.7,2500
48,AWS: D-57 (8916)                        ,-68.2,137.5,2105
49,HORSESHOE ISLAND                        ,-67.8,-67.3,9
50,AWS: D-47 (8914)                        ,-67.4,138.7,1560
52,AWS: LARSEN ICE (8912)                  ,-66.9,-60.5,50
53,AWS: BUCKLE IS. (8928)                  ,-66.9,163.2,520
54,AWS: D-10 (8901 1-9); (8912)            ,-66.7,139.8,240
55,PALMER                                  ,-64.8,-64,0
56,"PORT LOCKROY, ANVERS I.                 ",-64.8,-63.5,8
57,B.A. PDTE.GABRIEL G. VIDELA             ,-64.8,-62.9,10
58,B.A. BERNARDO O HIGGINS                 ,-63.45,-57.05,10
59,ESPERANZA + HOPE BAY                    ,-63.4,-57,7
60,HOPE BAY                                ,-63.4,-57,52
61,PEDRO AGUIERRE CERDA S ATLANTC          ,-62.9,-60.6,14
62,BASE ARTURO PRAT CHILE ANT I.           ,-62.5,-59.7,5
65,EL CALAFATE AERO                        ,-60.3,-72,204
66,GOBERNADOR COSTA                        ,-44,-70.4,729
68,OLOVARRIA_AERO         ARGENTI          ,-36.9,-60.2,166
69,BOLIVAR                ARGENTI          ,-36.3,-61.1,92
70,MELLILA                                 ,-34.8,-56.3,55
71,JUAN FERNANDEZ                          ,-33.6,-78.7,30
72,LOS CERILLOS                            ,-33.5,-70.8,506
74,DUBBO POST OFFICE /TEMPO                ,-32.3,148.6,265
75,RAFAGLA                ARGENTI          ,-31.1,-61.6,100
77,VILLA MARIA DEL RIO SECO                ,-29.9,-63.7,341
78,GOYA AERO                               ,-29.1,-59.2,39
79,PRESIDENCIA ROQUE SAENZ PENO            ,-26.7,-60.5,93
82,GUARANI INTL ARPT   PY                  ,-25.5,-54.9,236
84,DOORNLAAGTE            SOUTH A          ,-24.6,26.5,946
85,SERETSE KHAMA          SOUTH A          ,-24.2,25.9,1005
87,"TUREIA, TUAMOTU IS.                     ",-20.8,-138.6,3
97,ANDAHUAYLA                 PR           ,-13.7,-73.4,3444
98,FASCENE/NOSSI-BE                        ,-13.3,48.3,11
99,UTIARITI BRAZIL N                       ,-13,-58.3,385
103,ATAMBUA                INDO(CE          ,-9.3,124.9,125
104,OCUSSI====PORTUGUESE TIM                ,-9.2,124.4,2
105,BIMA                   INDO(CE          ,-8.6,118.7,2
106,RUTENG                 INDO(CE          ,-8.6,120.4,1170
109,MALANG/ABDURACHMAN SALEH                ,-8,112.7,526
110,SURAKARTA/PANASAN                       ,-7.9,110.9,104
111,AMBRIZETE           ANGO  AMBR          ,-7.3,12.9,15
112,CITEKO/PUNCAK          INDONES          ,-6.7,106.9,300
113,BOGAR/ATANGSENJAYA                      ,-6.6,106.9,171
114,BOGAR/DERMAGA                           ,-6.5,106.8,250
118,JAKARTA/TAJUNG PRIOK                    ,-6.1,106.9,2
119,KOKONAO                INDO(MA          ,-4.7,136.4,3
122,::::::::::::::::::::::::::::::          ,-4.3,15.3,290
123,KOTABARU                                ,-3.4,116.2,18
124,BANNINGVILLE CONGO DEM REP              ,-3.3,17.4,340
125,FAK-FAK/TOREA                           ,-2.9,132.6,130
127,PANGKALAN BUN/ISKANDAR                  ,-2.7,110.7,25
128,"MASAMBA, CELEBES       INDO(CE          ",-2.6,120.4,50
130,JAYAPURA                                ,-2.5,140.7,3
132,SERUI/YENDOSA                           ,-1.9,136.2,3
133,"POSO, CELEBES          INDO(CE          ",-1.4,120.7,2
135,MUARATEWE/BERINGIN     INDONES          ,-1,114.9,60
137,"LUWUK, CELEBES         INDO(CE          ",-0.9,122.8,2
138,QUITO-BODEGA                            ,-0.2,-78.5,2800
139,BOGUS GUINEA               GN           ,0,0,0
140,SINTANG                                 ,0,111.8,48
143,PUTUSIBAU              INDONES          ,0.9,112.9,53
144,"TOLI-TOLI, CELEBES     INDO(CE          ",1,120.8,2
146,BATAN                  INDONES          ,1.1,104.1,24
147,SAN LORENZO       &        EQ           ,1.3,-78.9,40
149,TANJUNG_REDEP/BERAU    INDONES          ,2.1,117.4,26
150,TANJUNG_SELOR          INDONES          ,2.9,117.3,50
152,AKONOLINGA                              ,3.8,12.2,671
155,MALANSUANE                              ,4.2,126.7,9
156,"MEULABOH, SUMATRA      INDONES          ",4.3,96.1,0
157,EL PASO                                 ,4.5,-75.5,3265
159,LHOKSEUMAWE/MALIKUS    INDONES          ,5.2,97.2,87
160,PALANQUERO/GERMANOLAND                  ,5.3,-74.7,172
162,GABRE DARE                              ,6.8,44.3,450
163,DAVAO ARPT                              ,7.1,125.7,25
164,DIPLOG                                  ,8.6,123.4,5
165,MONTERIA/BERASTEGOI                     ,8.9,-75.7,26
166,LEKEMTI                                 ,9.1,36.6,1950
167,COCHIN/ERNAKULAM                        ,9.9,76.2,3
168,"CHAGUARAMAS, TRINIDAD                   ",10.7,-61.6,13
170,ZALINGEI            SUDA  ZALI          ,12.9,23.3,900
171,LOS PUENTES HUNDURAS BOGUS =            ,13.2,-87.4,3
178,UBON HATCHATHANI                        ,15.3,104.9,127
179,TUXTLAGUTIERREZ                         ,16.8,-93.1,536
180,COOLIDGE FLD ANTIGUA CARIB I.           ,17.1,-61.8,10
181,"ANNAS HOPE, ST. CROIX VIRGIN I          ",17.7,-65.7,56.5
182,HATINH                                  ,18.4,105.9,3
184,HACIA HIGUEY DOMINICAN REP.             ,18.6,-68.3,100
185,"IN-GUEZZAM,ALGERIA                      ",18.6,5.8,411
187,ZOUAR               CHAD  ZOUA          ,20.5,16.2,776
190,"CDX,S BAZAR                             ",21.4,92,4
191,JEDDAH (KING ABDULAZIZ) AP              ,21.7,39.2,8
194,UBAYLAH (AMOS)         SAUDI A          ,22,50.9,145
196,HONG KONG/KINGS PARK                    ,22.3,114.2,66
197,SAPA                                    ,22.4,103.8,1581
199,SEEB INTERNATIONAL AIRPORT              ,23.6,58.3,-999
200,SAN PEDRO YCUAMANDI PY                  ,24.1,-57.1,80
201,"SULYMAT,AL AIN,ABU DHABI                ",24.2,55.5,225
202,ABU DHABI INTL ARPT                     ,24.4,54.5,5
207,GRAL BRUGUEZ        PY                  ,24.8,-58.8,-999
214,KING FAHAD INTL     SD                  ,26.5,49.8,12
225,FARAHEEL                                ,29.1,48.2,2
226,MAGWA                                   ,29.2,48,46
228,"EXPERIMENTAL FARM,KUWAIT                ",29.3,47.9,21
229,SHUWAIKH/KUWAIT/CLIMAT O                ,29.3,48,11
231,RAUDHATAIN                              ,29.9,47.7,47
236,JERUSALEM/OLD CITY                      ,31.8,35.2,810
237,KADJAKAI                                ,32.2,65.1,-999
243,"YUSHU,QINGHAI                           ",33,96.6,3703
247,DAMASCUS SYRIAN ARAB REPUBLIC           ,33.5,36.2,729
249,NAWOR/OKPAK                             ,33.9,68,3130
253,TLEMCEN             ALGE  TLEM          ,34.9,-1.3,805
254,TONGDA                                  ,35.1,100.3,3289
257,"GOLOMUND,QINGHAI                        ",36.05,94.55,2808
259,HSI NING/SINING                         ,36.6,109.8,2295
262,BLACKSBURG RAOB         VA US           ,37.2,-80.4,654
263,"ROANOKE/MUN., VIRGINIA                  ",37.3,-78,358
268,"DEKHKANABAD, UZBEK     FORMER           ",38.4,66.5,840
269,LENKORAN USSR EUROPEAN                  ,38.7,48.8,0.5
273,"CHELEKEN, TURKMEN      FORMER           ",39.4,53.1,-14
275,"PALMA, MALLORCA/SON BONET               ",39.6,2.7,45
277,"DZHIZAK, UZBEK         FORMER           ",40.1,67.8,392
279,"ANDIZHAN, UZBEK        FORMER           ",40.7,72.3,477
284,ASINARA                                 ,41.1,8.3,115
287,KARDJALI               BULGARI          ,41.6,25.4,243
288,"AKHALTSIKHE, GEORGIA   FORMER           ",41.6,43,982
289,DARBAZA             RA                  ,41.6,69.1,444
290,"TIFLIS, GEORGIA        FORMER           ",41.7,44.8,403
293,KUTAYSI                FORMER           ,42.3,42.6,116
294,"TKIBULI, GEORGIA       FORMER           ",42.3,43,541
305,SHINE USA              MONGOLI          ,42.9,100.2,1494
306,PREOBRAGENIE           FORMER           ,42.9,133.9,34
